season,lap,ID,P1,P2,score1,score2
1,1,1,ぴぽにあ,レイン,30,23
1,1,2,ぴぽにあ,ともくん,30,28
1,1,3,ぴぽにあ,momoken,25,30
1,1,4,ぴぽにあ,マッキ―,30,26
1,1,5,ぴぽにあ,delta,28,30
1,1,6,レイン,ともくん,16,30
1,1,7,レイン,momoken,27,30
1,1,8,レイン,マッキ―,20,30
1,1,9,レイン,delta,26,30
1,1,10,ともくん,momoken,23,30
1,1,11,ともくん,マッキ―,20,30
1,1,12,ともくん,delta,30,27
1,1,13,momoken,マッキ―,23,30
1,1,14,momoken,delta,30,25
1,1,15,マッキ―,delta,30,14
2,1,16,マッキ―,momoken,18,30
2,1,17,マッキ―,ぴぽにあ,30,20
2,1,18,マッキ―,ともくん,20,27
2,1,19,マッキ―,delta,30,20
2,1,20,マッキ―,SAKI,30,20
2,1,21,momoken,ぴぽにあ,30,21
2,1,22,momoken,ともくん,30,23
2,1,23,momoken,delta,30,19
2,1,24,momoken,SAKI,30,17
2,1,25,ぴぽにあ,ともくん,25,30
2,1,26,ぴぽにあ,delta,30,17
2,1,27,ぴぽにあ,SAKI,29,30
2,1,28,ともくん,delta,20,30
2,1,29,ともくん,SAKI,30,27
2,1,30,delta,SAKI,30,27
2,2,31,マッキ―,momoken,30,29
2,2,32,マッキ―,ぴぽにあ,30,23
2,2,33,マッキ―,ともくん,30,20
2,2,34,マッキ―,delta,30,25
2,2,35,マッキ―,SAKI,30,18
2,2,36,momoken,ぴぽにあ,30,17
2,2,37,momoken,ともくん,30,26
2,2,38,momoken,delta,30,12
2,2,39,momoken,SAKI,30,23
2,2,40,ぴぽにあ,ともくん,25,30
2,2,41,ぴぽにあ,delta,29,30
2,2,42,ぴぽにあ,SAKI,28,30
2,2,43,ともくん,delta,25,30
2,2,44,ともくん,SAKI,21,30
2,2,45,delta,SAKI,30,16
3,1,46,momoken,マッキ―,18,30
3,1,47,momoken,delta,30,24
3,1,48,momoken,ともくん,30,27
3,1,49,momoken,ヨダソウマ,30,16
3,1,50,momoken,ぴぽにあ,30,18
3,1,51,マッキ―,delta,30,21
3,1,52,マッキ―,ともくん,30,9
3,1,53,マッキ―,ヨダソウマ,30,22
3,1,54,マッキ―,ぴぽにあ,30,22
3,1,55,delta,ともくん,23,30
3,1,56,delta,ヨダソウマ,30,29
3,1,57,delta,ぴぽにあ,21,30
3,1,58,ともくん,ヨダソウマ,30,26
3,1,59,ともくん,ぴぽにあ,28,30
3,1,60,ヨダソウマ,ぴぽにあ,30,27
3,2,61,momoken,マッキ―,30,28
3,2,62,momoken,delta,30,25
3,2,63,momoken,ともくん,30,10
3,2,64,momoken,ヨダソウマ,30,24
3,2,65,momoken,ぴぽにあ,30,16
3,2,66,マッキ―,delta,30,22
3,2,67,マッキ―,ともくん,20,30
3,2,68,マッキ―,ヨダソウマ,30,21
3,2,69,マッキ―,ぴぽにあ,30,22
3,2,70,delta,ともくん,30,21
3,2,71,delta,ヨダソウマ,30,22
3,2,72,delta,ぴぽにあ,27,30
3,2,73,ともくん,ヨダソウマ,30,14
3,2,74,ともくん,ぴぽにあ,30,21
3,2,75,ヨダソウマ,ぴぽにあ,16,30
